County,Zone,Macro_Region,RAC4,RAC3,RAC2,RAC1,Understory,Grasslands_Type,Grasslands_Qual,Cane_Presence,Cane_Qual,Geology,Disturbance_Type,Human_Impact,Topography_Class
Fannin,Upland Woods,Oak Hickory Pine Uplands,Post Oak,Black-jack oak,Hickory,Elm,Low shrubs,Sandy Prairies,Wire-grass lands; dark sandy surface clay sub,0,None noted,Sands and white gravel pebbles,None noted,0,High undulating timbered uplands
Fannin,Black Prairie,Central Black Prairie,Open Prairie,None noted,None noted,None noted,Scattering oaks,Black Waxy Prairie,Stiff black clay loam over soft white stone,0,None noted,Cretaceous soft white stone,None noted,0,Undulating open treeless prairie plain
Fayette,Schulenberg,Southern Coast Prairie,Oaks,Mesquite,Live Oak,None noted,Long moss,Black Waxy Prairie,Tenacious adobe waxy clay matrix,0,None noted,Grand Gulf sandstone edge,None noted,0,Rolling prairie and sandy uplands
Franklin,Upland Woods,Oak Hickory Pine Uplands,Red Oak,Post Oak,Black-jack oak,Hickory,Wild shrubs,None noted,N/A,0,None noted,Heavy clay subsoils,None noted,0,Level interior rolling stream breaks
Frio,Chaparral Range,Southwestern Prairie,Mesquite,Live Oak,None noted,None noted,Cactus thorns,Southern Prairies,Fine nutritious grasses under shrubs,0,None noted,Arid plain lime layers,Droughts,0,High rolling mesquite prairies
Galveston,Coast Island,Southern Coast Prairie,None noted,None noted,None noted,None noted,None noted,Coast Beach,Broad sand dunes and shell banks,0,None noted,Quaternary beach sands,Windthrow storms,0,Flat regular sandy barrier island
Gillespie,Enchanted Rock,Central Black Prairie,Post Oak,Live Oak,None noted,None noted,Thorny shrubs,Southern Prairies,Surrounded by pink feldspathic granite,0,None noted,Azoic pink feldspar granite,None noted,0,Level plains under high granite peaks
Gonzales,Harwood Pebbles,Oak Hickory Pine Uplands,Post Oak,Red Oak,Hickory,Black-jack oak,Coarse weeds,None noted,N/A,0,None noted,Red pebbly clay strata,None noted,0,Stony rolling ridge frameworks
Grayson,Upland Woods,Oak Hickory Pine Uplands,Post Oak,Red Oak,Black Oak,Hickory,Ferruginous gravel,None noted,N/A,0,None noted,Yellowish sandy clay over lime,None noted,0,Undulating sandy timbered uplands
Grayson,Black Prairie,Central Black Prairie,Open Prairie,None noted,None noted,None noted,Wild grasses,Black Waxy Prairie,Stiff black clay; yellow clay hardpan sub,0,None noted,Cretaceous rotten limestone,None noted,0,Broad open treeless undulating prairie
Gregg,Sabine Bottoms,Oak Hickory Pine Uplands,Oaks,Short-leaf pine,Sweet Gum,Walnut,Bamboo,None noted,N/A,1,Stiff waxy overflow swamp cane,Sabine alluvial waxy clays,Seasonal Overflow,0,Stiff waxy river floodplain basins
Grimes,San Antonio Basin,Central Black Prairie,None noted,None noted,Cedar,Elm,Greenbrier,Black Waxy Prairie,Tenacious adobe clay soils,0,None noted,Cretaceous rotten limestone,None noted,0,Undulating black waxy prairie
Guadalupe,Red Uplands,Central Black Prairie,Post Oak,Red Oak,Hickory,Black-jack oak,Scrubby oaks,None noted,N/A,0,None noted,Red sandy Tertiary hills,None noted,0,Rolling red sand-clay upland tracks
Hardin,Gypseous Swamps,Long-leaf Pine Region,Long-leaf pine,None noted,Oaks,None noted,Ferns,None noted,N/A,0,None noted,Port Hudson gypseous clays,None noted,0,Low level poorly drained pineries
Harris,Pierce Flats,Southern Coast Prairie,Live Oak,Pine,Oak,Magnolia,Long moss,Gray Silt Prairies,Thick carpet of tall coarse grasses,0,None noted,Port Hudson clays,None noted,0,Low flat coastal prairie plain
Harrison,Creek Bottoms,Oak Hickory Pine Uplands,Oaks,Red Elm,Sweet Gum,Hickory,Chincapin,None noted,N/A,1,Switch cane along streams,Tertiary sand beds,None noted,0,Flat alluvial terrace bottoms
Hays,San Marcos line,Central Black Prairie,None noted,None noted,Elm,Pecan,Wild grasses,Black Waxy Prairie,Rotten limestone outcropping freely,0,None noted,Cretaceous rotten limestone,None noted,0,High rolling prairie plains
Hill,Brazos Bluffs,Central Black Prairie,Post Oak,Black-jack oak,Elm,Hackberry,Scrubby brush,Black Waxy Prairie,Capped by massive Caprina beds,1,Switch cane on rocky banks,Caprina Cretaceous limestone,None noted,0,High castellated flat-topped hills
Hopkins,Prairie Fringes,Oak Hickory Pine Uplands,Post Oak,Black-jack oak,Hickory,Short-leaf pine,Sumac,Brown-loam Prairies,High rolling insular prairie loam pockets,0,None noted,Tertiary clays,None noted,0,Undulating timbered loam slopes
Houston,Timbered Plains,Oak Hickory Pine Uplands,Post Oak,Red Oak,Hickory,Sweet Gum,Dogwood,None noted,N/A,0,None noted,Sandy Tertiary clays,None noted,0,Rolling sand-clay upland plain
Hunt,Prairie Plain,Central Black Prairie,None noted,None noted,Post Oak,Black-jack oak,None noted,Black Waxy Prairie,Rich black sandy borders near woods,0,None noted,Cretaceous limestone floor,None noted,0,Undulating open prairie plain
Jack,Jacksboro,Northwestern Red-Loam,Mesquite,Post Oak,Black-jack oak,Live Oak,Low scrubby undergrowth,Mesquite Prairie,Large amount of potash; rich range,0,None noted,Red sandstone/limestone,Long droughts,0,High rolling prairie and ridges
Jackson,Lavaca Bay,Southern Coast Prairie,Live Oak,None noted,None noted,None noted,Brazil-wood,Southern Prairies,Open grassy range extending to water,0,None noted,Port Hudson stiff clays,None noted,0,Flat plain ending in clay bluffs
Jasper,Hummock margins,Long-leaf Pine Region,Long-leaf pine,Oaks,Hickory,Beech,Magnolia,None noted,N/A,1,Cane lines along creek hummocks,Sandy drift over clay,None noted,0,Rolling sandy pineries and hummocks
Jefferson,Delta Flats,Southern Coast Prairie,Oaks,Elm,Hackberry,None noted,Bamboo,Pine Prairies,Gray silt loams over stiff clay,1,Cane thickets on swamp edge,Port Hudson delta silts,None noted,0,Low flat silty prairie plain
Johnson,Comanche Peak line,Central Black Prairie,None noted,None noted,Post Oak,Black-jack oak,Scrubby brush,Black Waxy Prairie,Yellow/drab clay under waxy layer,0,None noted,Cretaceous rotten limestone,None noted,0,Rolling prairie under high peaks
Jones,Colorado Forks,Northwestern Red-Loam,Mesquite,None noted,None noted,None noted,Wild grasses,Mesquite Prairie,Grass remains green during winter,0,None noted,Red clay strata,None noted,0,Gently undulating country
Karnes,Rocky Ridge,Southern Coast Prairie,Post Oak,Live Oak,Mesquite,None noted,Thorny shrubs,Southern Prairies,Stony dry soils on ridge sides,0,None noted,Sierra sandstone ledge,None noted,0,Rolling plain split by rocky ridges
Kaufman,Terrell Cut,Central Black Prairie,None noted,None noted,Oaks,Hickory,None noted,Black Waxy Prairie,Hard fossiliferous Ripley limestone basis,0,None noted,Ripley Cretaceous group,None noted,0,Level open waxy prairie plain
Kendall,Cibolo Hills,Central Black Prairie,Cedar,Live Oak,Mesquite,None noted,Chaparral,Southern Prairies,Rolling prairie becoming more hilly,0,None noted,Cretaceous limestone blocks,None noted,0,Rolling hilly landscape loops
Kerr,Guadalupe Forks,Central Black Prairie,Cedar,Post Oak,Live Oak,None noted,Long moss,Southern Prairies,Alternating rolling prairies and flats,0,None noted,Cretaceous limestone layers,None noted,0,Hilly broken ridge frameworks
Lamar,Upland Woods,Oak Hickory Pine Uplands,Post Oak,Black-jack oak,Hickory,None noted,Wire-grass,None noted,N/A,0,None noted,Sandy loam over clay,None noted,0,High rolling wire-grass land ridges
Lamar,Black Prairie,Central Black Prairie,Open Prairie,None noted,None noted,None noted,Scattering oaks,Black Waxy Prairie,Heavy black waxy and hog-wallow range soils,0,None noted,Cretaceous clay matrix,None noted,0,Undulating open prairie grazing range
Lavaca,Stock Prairies,Southern Coast Prairie,None noted,None noted,Live Oak,Mesquite,None noted,Southern Prairies,Excellent native grass for stock grazing,0,None noted,Port Hudson clay system,None noted,0,Broad extensive coastal plains
Leon,Upland Slopes,Oak Hickory Pine Uplands,Post Oak,Black-jack oak,Hickory,None noted,Persimmon,None noted,N/A,0,None noted,Tertiary sand matrix,None noted,0,Rolling upland woods matrix
Liberty,Trinity Border,Long-leaf Pine Region,Long-leaf pine,Post Oak,Hickory,Oaks,Chaparral brush,Open Prairies,Stiff black clay prairie patches,1,Switch cane along loops,Port Hudson clays,None noted,0,Level pine flats cut by prairies
Limestone,Tehuacana Hills,Central Black Prairie,Oaks,Hickory,Elm,Mesquite,None noted,Brown-loam Prairies,Sandy waxy valley flats near ridges,0,None noted,Hard Tertiary limestone,None noted,0,Abrupt treeless fossiliferous ridges
Llano,Pink Feldspar,Northwestern Red-Loam,Post Oak,Live Oak,None noted,None noted,Scrubby brush,Southern Prairies,Pink feldspathic granite knobs,0,None noted,Azoic pink feldspar granite,None noted,0,Hilly broken landscape fields
Madison,Navasota Fork,Central Black Prairie,Elm,Pecan,Hackberry,Oaks,Muscadine,Brown-loam Prairies,Rich brown loam surface over heavy clay,1,Cane thickets on river borders,Alluvial and Quaternary drift,None noted,0,Flat prairie interspersed with loops
Marion,Lowlands,Oak Hickory Pine Uplands,Cypress,Ash,Walnut,Cedar,Swamp shrubs,None noted,N/A,1,Caddo bottomlands stream cane,Iron ore wash alluvial,None noted,0,Rolling lowlands and lake borders
Mason,Granite Alternations,Northwestern Red-Loam,Post Oak,Live Oak,None noted,None noted,Thorny shrubs,Southern Prairies,Alternating prairies and timber lines,0,None noted,Azoic granite outcrops,None noted,0,Rolling hilly sandy tracks
Matagorda,Sugar Bowl frame,Southern Coast Prairie,Live Oak,Oaks,Elm,Pecan,Long moss,Southern Prairies,Black waxy strips along delta sides,1,Switch cane in alluvial gaps,Brazos alluvial matrix,None noted,0,Flat heavily timbered delta frame
McCulloch,Brady Plains,Northwestern Red-Loam,Mesquite,Live Oak,Pecan,None noted,Thorny shrubs,Southern Prairies,Prairies covered with mesquite grass,0,None noted,Cretaceous rotten limestone,None noted,0,Rolling hilly valleys and peaks
McLennan,Waco Springs,Central Black Prairie,None noted,None noted,Elm,Hackberry,Humus layers,Black Waxy Prairie,Deep rich black waxy; high humus,1,Cane loops on river entries,Cretaceous rotten limestone,None noted,0,Rolling prairie dropping to river
Medina,Castroville Prairie,Central Black Prairie,Mesquite,Oaks,Live Oak,None noted,Chaparral,Hog-wallow Prairie,Hog-wallow soils; nearly impassable,0,None noted,Cretaceous limestone beds,None noted,0,Level prairie and hog-wallow flats
Milam,Transition Edge,Central Black Prairie,Post Oak,Black-jack oak,Elm,Mesquite,Scrubby brush,Black Sandy Prairie,Transition zone; easy to till,0,None noted,Cretaceous/Tertiary edge,None noted,0,Level sandy prairie border plains
Montague,Belknap Prong,Central Black Prairie,Post Oak,Black-jack oak,None noted,None noted,Scrubby oaks,Upper Cross Timbers,Deep pure white sand on uplands,0,None noted,Permian red sandstone cap,None noted,0,Rolling sandy wood prongs and gaps
Montgomery,Upland Plains,Southern Coast Prairie,Post Oak,Black-jack oak,Hickory,Short-leaf pine,Sassafras,Gray Silt Prairies,Mottled siliceous loams,0,None noted,Quaternary stratified drift,None noted,0,Undulating timbered upland plain
Morris,Red Hills belt,Oak Hickory Pine Uplands,Oaks,Hickory,Short-leaf pine,None noted,Sassafras,None noted,N/A,0,None noted,Ironstone formations,None noted,0,Broken red sandy clay ridges
Nacogdoches,Shell Marl beds,Oak Hickory Pine Uplands,Oaks,Hickory,Sweet Gum,Black Gum,Ferns,None noted,N/A,1,Cane brakes along local bottoms,Glauconitic shell strata,None noted,0,Rolling red sand-clay loam basins
Navarro,Chambers Creek,Central Black Prairie,Post Oak,Hickory,Elm,None noted,Coarse shrubs,Brown-loam Prairies,Rich brown loam; deep wide cracks when dry,0,None noted,Tertiary fossiliferous beds,None noted,0,High rolling prairie cut by creeks
Newton,Pine Flats,Long-leaf Pine Region,Long-leaf pine,None noted,None noted,None noted,Gallberry,Pine Flats,Treeless barren look; very sandy,0,None noted,Grand Gulf sandstones,None noted,0,Level pine flats and hills
Orange,Sabine Marshes,Long-leaf Pine Region,Long-leaf pine,Cypress,Magnolia,None noted,Bamboo,None noted,N/A,1,Cane brakes in coastal marsh,Port Hudson delta clays,None noted,0,Low flat marshy pine borders
Palo Pinto,Brazos Trough,Northwestern Red-Loam,Post Oak,Black-jack oak,Elm,Hackberry,Scrubby brush,Red Loam Prairie,Deep sandy soil on ridges,1,Cane lines on deep river loops,Ferruginous sandstones,None noted,0,Timbered post oak valley trough
Panola,Pine Flats,Long-leaf Pine Region,Long-leaf pine,None noted,None noted,None noted,Gallberry,Pine Flats,Treeless barren look; very sandy,0,None noted,Grand Gulf sandstones,None noted,0,Level pine flats and hills
Parker,Weatherford Bluffs,Central Black Prairie,Post Oak,Black-jack oak,None noted,None noted,Scrubby oaks,Upper Cross Timbers,Abrupt termination of waxy prairie,0,None noted,Cretaceous sandstone edge,None noted,0,High plateau dropping into trough
Rains,Upland Woods,Oak Hickory Pine Uplands,Oaks,Hickory,None noted,None noted,Wild brush,None noted,N/A,0,None noted,Sandy loam over clay subsoil,None noted,0,Rolling sandy upland woods matrix
Red River,Upland Woods,Oak Hickory Pine Uplands,Post Oak,Hickory,None noted,None noted,Wild shrubs,None noted,N/A,0,None noted,Sands and gravels,None noted,0,High rolling timbered river uplands
Red River,Black Prairie,Central Black Prairie,Open Prairie,None noted,None noted,None noted,Wild grasses,Black Waxy Prairie,Stiff black clayey loam over rotten stone,1,Dense cane brakes in river bottoms,Cretaceous rotten limestone,None noted,0,Undulating treeless black prairie plain
Robertson,River Terraces,Oak Hickory Pine Uplands,Oaks,Elm,Pecan,Hackberry,Bamboo,None noted,N/A,1,Cane fringes on terrace margins,Alluvial clays,None noted,0,Broad flat floodplain borders
Rusk,Sabine Forks,Oak Hickory Pine Uplands,White Oak,Red Oak,Post Oak,Hickory,Ash,None noted,N/A,1,Cypress swamp cane inclusions,Tertiary ironstone,None noted,0,Broken ferruginous sandstone hills
San Jacinto,Trinity Uplands,Southern Coast Prairie,Oaks,Pine,Hickory,Sweet Gum,Dogwood,Gray Silt Prairies,"Level, poor drainage silt pools",1,Cane lines in river breaks,Port Hudson loams,None noted,0,Level plain cut by loops
San Saba,Colorado Bluffs,Northwestern Red-Loam,Post Oak,Live Oak,Cedar,None noted,Chaparral,Southern Prairies,High red sandstone hills rise abruptly,1,Cane lines in river breaks,Red sandstone and limestone,None noted,0,Prairie valleys and high bluffs
Shackelford,Table Lands,Northwestern Red-Loam,Mesquite,Live Oak,None noted,None noted,Chaparral,Red Loam Prairie,Broad table-lands; deep red soil,0,None noted,Paleozoic limestone blocks,None noted,0,Broad level table-lands
Shelby,Ridge Woodlands,Oak Hickory Pine Uplands,Post Oak,Black-jack oak,Hickory,Short-leaf pine,Dogwood,None noted,N/A,1,Cane patches along Sabine edge,Tertiary sands,None noted,0,Undulating timbered ridge land
Smith,Oak Uplands,Oak Hickory Pine Uplands,Post Oak,Red Oak,Black-jack oak,Hickory,Scrubby oaks,None noted,N/A,0,None noted,Sandy Tertiary shales,None noted,0,Rolling timbered sand loam ridges
Stephens,Coal Measures,Northwestern Red-Loam,Post Oak,Black-jack oak,Elm,Pecan,Scrubby undergrowth,Red Loam Prairie,Stiff black clay pockets in flats,1,Cane lines along local forks,Carboniferous coal beds,None noted,0,Hilly broken timber and prairies
Tarrant,Arlington Level,Central Black Prairie,Post Oak,Red Oak,Black-jack oak,None noted,Scrubby brush,Lower Cross Timbers,Level sandy loam; rich values,0,None noted,Cretaceous sandstone cap,None noted,0,Level timbered cross-belt plain
Throckmorton,High Ridges,Northwestern Red-Loam,Mesquite,Post Oak,Black-jack oak,None noted,Scrubby oaks,Red Loam Prairie,Long high narrow ridges or divides,0,None noted,Red sandstone ledges,None noted,0,High ridges and prairie valleys
Titus,Upland Woods,Oak Hickory Pine Uplands,Hickory,Red Oak,Black Oak,Post Oak,Soft gravel matrix,None noted,N/A,0,None noted,Tenacious dark red clay subsoil,None noted,0,Level to rolling sandy timbered plain
Travis,Mount Bonnell,Central Black Prairie,Post Oak,Cedar,Elm,Pecan,Wild grasses,Black Waxy Prairie,Austin limestone; cream-colored rock,0,None noted,Austin Cretaceous limestone,None noted,0,Hilly broken slopes near river
Tyler,Rolling Pineries,Long-leaf Pine Region,Long-leaf pine,Post Oak,Hickory,None noted,None noted,None noted,N/A,0,None noted,Grand Gulf sandstone matrix,None noted,0,Rolling pine sands over clay beds
Upshur,Upland Woods,Oak Hickory Pine Uplands,Red Oak,Black Oak,Black-jack oak,Hickory,Scrubby oaks,None noted,N/A,0,None noted,Dark fine sand over red clay,None noted,0,Rolling sandstones and iron-ore hills
Uvalde,Sabinal Plains,Central Black Prairie,Mesquite,Oaks,Live Oak,None noted,Wesatche brush,Southern Prairies,Mesquite bushes replacing open prairie,1,Cane clumps on river bottoms,Alluvial sands over limestone,None noted,0,Level prairie and dense forest banks
Victoria,Bayou Plains,Southern Coast Prairie,Live Oak,Mesquite,None noted,None noted,Mexican bean,Southern Prairies,Adobe black clay floors in lowlands,0,None noted,Port Hudson gypsiferous beds,None noted,0,Broad level plain rising from bay
Walker,Trinity Bottoms,Oak Hickory Pine Uplands,Pin Oak,Pecan,Elm,Ash,Hackberry,San Antonio Prairie,Waxy valley lowlands; very durable,1,Switch cane near overflows,Alluvial silt matrix,None noted,0,Subject to overflow valley margins
Washington,Chapel Hill,Southern Coast Prairie,None noted,None noted,Cedar,Elm,Greenbrier,Black Waxy Prairie,Adobe black waxy; severe cracks,0,None noted,Port Hudson calcareous clays,None noted,0,Rolling prairie over white sandstone
Wichita,Big Wichita,Northwestern Red-Loam,Mesquite,None noted,None noted,None noted,Coarse weeds,Red Loam Prairie,Rich soils derived from gypsum hills,0,None noted,Red clay gypsum system,None noted,0,High rolling prairie valleys
Williamson,Bald Peaks,Central Black Prairie,None noted,None noted,Post Oak,Black-jack oak,Thorny weeds,Black Waxy Prairie,High peaks facing broad valleys,0,None noted,Cretaceous rotten limestone,None noted,0,Broken rolling valleys and peaks
Wise,Bald Hills,Central Black Prairie,None noted,None noted,Post Oak,Black-jack oak,Thorny weeds,Black Waxy Prairie,Bald hills and peaks standing out,0,None noted,Cretaceous rotten limestone,None noted,0,Hilly broken interior prairie
Wood,Sandy Flats,Oak Hickory Pine Uplands,Post Oak,Red Oak,Black-jack oak,Hickory,Sumac,Sandy Prairies,Light sandy sparse grasslands,0,None noted,Ferruginous sandstones,None noted,0,Highly rolling deep sand uplands
Young,Canons/Valleys,Northwestern Red-Loam,Elm,Pecan,Cottonwood,Mesquite,Undergrowth links,Red Loam Prairie,Narrow valleys widening eastward,1,Switch cane along stream tracks,Red clay and gypsum beds,None noted,0,Deep narrow steep canons
